id_pedido,id_usuario,fecha_hora_pedido,pais,dispositivo,fuente_referencia,nombre_producto,categoria_producto,cantidad,precio_unitario,monto_descuento,monto_total,es_devolucion
Order_0,User_6993,2025-05-22,Argentina,Desktop,Organic,Jacket-Winter-M,Moda,2.0,332.69,0.0,665.37,False
Order_1,User_1329,2025-06-15,Mexico,Desktop,Paid_Search,Tablet-Standard-64Gb,Electronica,1.0,176.86,5.0,171.86,False
Order_2,User_3194,2025-05-02,Argentina,Desktop,Social,Blender-Xl-Red,Hogar,2.0,102.99,10.0,195.99,False
Order_3,User_4510,2025-06-09,Colombia,Mobile,Social,Tablet-Standard-64Gb,Electronica,1.0,257.87,15.0,242.87,False
Order_4,User_5044,2025-03-30,Argentina,Desktop,Paid_Search,Blender-Xl-Red,Hogar,1.0,336.28,0.0,336.28,False
Order_5,User_2792,2025-04-22,Mexico,Desktop,Organic,Tablet-Standard-64Gb,Electronica,1.0,179.34,0.0,179.34,False
Order_6,User_2802,2025-03-15,Colombia,Mobile,Organic,Blender-Xl-Red,Hogar,2.0,163.59,0.0,327.19,False
Order_7,User_1083,2025-05-01,Mexico,Desktop,Organic,Tablet-Standard-64Gb,Electronica,2.0,373.68,0.0,747.35,False
Order_8,User_2352,2025-03-01,Argentina,Desktop,Paid_Search,Laptop-Gaming-16Gb,Electronica,2.0,477.27,5.0,949.54,False
Order_9,User_7001,2025-05-31,Mexico,Mobile,Organic,Sneakers-Urban-42,Moda,1.0,339.3,5.0,334.3,False
Order_10,User_3960,2025-03-28,Mexico,Mobile,Organic,Phone-Pro-128Gb,Electronica,1.0,292.14,0.0,292.14,False
Order_11,User_3547,2025-06-18,Colombia,Desktop,Social,Phone-Pro-128Gb,Electronica,1.0,231.74,0.0,231.74,False
Order_12,User_6810,2025-03-17,Colombia,Mobile,Social,Jacket-Winter-M,Moda,1.0,499.48,5.0,494.48,False
Order_13,User_3170,2025-04-10,Colombia,Desktop,Organic,Jacket-Winter-M,Moda,1.0,496.94,0.0,496.94,False
Order_14,User_6516,2025-06-22,Colombia,Desktop,Social,Vacuum-Pro-Black,Hogar,1.0,400.92,5.0,395.92,False
Order_15,User_1500,2025-04-03,Colombia,Mobile,Organic,Jacket-Winter-M,Moda,2.0,373.47,0.0,746.94,False
Order_16,User_3710,2025-02-11,Colombia,Mobile,Social,Laptop-Gaming-16Gb,Electronica,2.0,355.07,10.0,700.14,False
Order_17,User_3458,2025-03-14,Mexico,Mobile,Paid_Search,Sneakers-Urban-42,Moda,2.0,308.41,0.0,616.82,False
Order_18,User_7316,2025-01-23,Mexico,Mobile,Social,Phone-Pro-128Gb,Electronica,2.0,180.64,5.0,356.27,False
Order_19,User_7190,2025-02-03,Argentina,Mobile,Social,Jacket-Winter-M,Moda,2.0,45.86,0.0,91.72,False
Order_20,User_396,2025-02-10,Argentina,Mobile,Organic,Tablet-Standard-64Gb,Electronica,2.0,489.11,10.0,968.23,False
Order_21,User_6296,2025-01-26,Mexico,Desktop,Paid_Search,Blender-Xl-Red,Hogar,2.0,203.26,0.0,406.51,False
Order_22,User_423,2025-05-07,Mexico,Desktop,Paid_Search,Vacuum-Pro-Black,Hogar,2.0,418.56,0.0,837.12,False
Order_23,User_3623,2025-02-23,Colombia,Desktop,Organic,Jacket-Winter-M,Moda,2.0,487.85,5.0,970.71,False
Order_24,User_458,2025-01-05,Colombia,Unknown,Organic,Sneakers-Urban-42,Moda,2.0,117.99,0.0,235.99,False
Order_25,User_540,2025-03-08,Argentina,Unknown,Social,Vacuum-Pro-Black,Hogar,1.0,183.5,5.0,178.5,False
Order_26,User_1951,2025-02-10,Colombia,Unknown,Organic,Blender-Xl-Red,Hogar,1.0,331.52,15.0,316.52,False
Order_27,User_5410,2025-05-09,Colombia,Unknown,Paid_Search,Phone-Pro-128Gb,Electronica,2.0,449.48,5.0,893.96,False
Order_28,User_1489,2025-01-17,Mexico,Unknown,Social,Phone-Pro-128Gb,Electronica,1.0,60.7,10.0,50.7,False
Order_29,User_5197,2025-01-30,Colombia,Unknown,Social,Phone-Pro-128Gb,Electronica,1.0,381.57,0.0,381.57,False
Order_30,User_5386,2025-01-31,Mexico,Unknown,Social,Vacuum-Pro-Black,Hogar,1.0,183.74,10.0,173.74,False
Order_31,User_5766,2025-05-05,Colombia,Unknown,Paid_Search,Vacuum-Pro-Black,Hogar,1.0,480.74,0.0,480.74,False
Order_32,User_4400,2025-03-29,Mexico,Unknown,Social,Tablet-Standard-64Gb,Electronica,1.0,117.69,0.0,117.69,False
Order_33,User_5070,2025-01-12,Argentina,Unknown,Paid_Search,Tablet-Standard-64Gb,Electronica,1.0,96.82,10.0,86.82,False
Order_34,User_579,2025-05-23,Mexico,Unknown,Social,Sneakers-Urban-42,Moda,1.0,174.85,0.0,174.85,False
Order_35,User_3817,2025-02-08,Mexico,Unknown,Organic,Blender-Xl-Red,Hogar,2.0,467.34,5.0,929.69,False
Order_36,User_28,2025-05-12,Colombia,Unknown,Paid_Search,Sneakers-Urban-42,Moda,2.0,136.4,15.0,257.79,False
Order_37,User_6345,2025-01-27,Colombia,Unknown,Paid_Search,Sneakers-Urban-42,Moda,1.0,429.26,5.0,424.26,False
Order_38,User_4024,2025-04-23,Argentina,Unknown,Organic,Phone-Pro-128Gb,Electronica,2.0,115.96,5.0,226.92,False
Order_39,User_7855,2025-01-29,Colombia,Unknown,Paid_Search,Blender-Xl-Red,Hogar,1.0,58.16,0.0,58.16,False
Order_40,User_6891,2025-06-06,Mexico,Unknown,Social,Vacuum-Pro-Black,Hogar,2.0,319.28,0.0,638.56,False
Order_41,User_2963,2025-01-27,Mexico,Unknown,Social,Jacket-Winter-M,Moda,2.0,37.77,10.0,65.53,False
Order_42,User_3944,2025-01-11,Mexico,Unknown,Social,Sneakers-Urban-42,Moda,1.0,253.63,5.0,248.63,False
Order_43,User_6949,2025-02-12,Colombia,Unknown,Social,Laptop-Gaming-16Gb,Electronica,1.0,415.13,0.0,415.13,False
Order_44,User_2899,2025-02-22,Colombia,Desktop,Unknown,Unknown,Unknown,1.0,318.38,5.0,313.38,False
Order_45,User_6196,2025-02-10,Mexico,Mobile,Unknown,Unknown,Unknown,2.0,354.06,10.0,698.12,False
Order_46,User_5815,2025-04-24,Mexico,Mobile,Unknown,Unknown,Unknown,1.0,359.31,10.0,349.31,False
Order_47,User_406,2025-05-08,Colombia,Mobile,Unknown,Unknown,Unknown,2.0,476.78,0.0,953.56,False
Order_48,User_6187,2025-01-26,Colombia,Desktop,Unknown,Unknown,Unknown,2.0,137.96,0.0,275.93,False
Order_49,User_7225,2025-04-04,Argentina,Desktop,Unknown,Unknown,Unknown,2.0,433.76,0.0,867.53,False
Order_50,User_1840,2025-02-05,Mexico,Desktop,Unknown,Unknown,Unknown,1.0,495.38,5.0,490.38,False
Order_51,User_5998,2025-02-21,Mexico,Desktop,Unknown,Unknown,Unknown,2.0,382.94,0.0,765.89,False
Order_52,User_5679,2025-04-17,Argentina,Mobile,Unknown,Unknown,Unknown,2.0,415.01,0.0,830.01,False
Order_53,User_5936,2025-01-02,Argentina,Desktop,Unknown,Unknown,Unknown,2.0,236.49,0.0,472.98,False
Order_54,User_3507,2025-05-02,Colombia,Mobile,Unknown,Unknown,Unknown,1.0,56.5,0.0,56.5,False
Order_55,User_2685,2025-05-10,Argentina,Desktop,Unknown,Unknown,Unknown,1.0,326.15,5.0,321.15,False
Order_56,User_6018,2025-03-10,Colombia,Mobile,Unknown,Unknown,Unknown,1.0,120.43,0.0,120.43,False
Order_57,User_4030,2025-04-17,Argentina,Desktop,Unknown,Unknown,Unknown,1.0,85.87,15.0,70.87,False
Order_58,User_6075,2025-06-20,Mexico,Mobile,Unknown,Unknown,Unknown,1.0,331.45,10.0,321.45,False
Order_59,User_6592,2025-05-16,Mexico,Mobile,Unknown,Unknown,Unknown,2.0,113.04,15.0,211.08,False
Order_60,User_5634,2025-02-28,Argentina,Desktop,Unknown,Unknown,Unknown,2.0,319.85,0.0,639.69,False
Order_61,User_3855,2025-04-20,Colombia,Desktop,Unknown,Unknown,Unknown,2.0,471.91,0.0,943.83,False
Order_62,User_5199,2025-04-15,Argentina,Desktop,Unknown,Unknown,Unknown,1.0,69.82,0.0,69.82,False
Order_63,User_679,2025-05-13,Argentina,Mobile,Unknown,Unknown,Unknown,2.0,437.98,10.0,865.95,False
Order_64,User_6697,2025-04-03,Mexico,Mobile,Unknown,Unknown,Unknown,1.0,35.5,10.0,25.5,False
Order_65,User_2495,2025-04-24,Argentina,Desktop,Unknown,Unknown,Unknown,2.0,120.0,10.0,230.0,False
Order_66,User_5186,2025-01-03,Mexico,Desktop,Unknown,Unknown,Unknown,1.0,269.68,0.0,269.68,False
Order_67,User_2319,2025-05-13,Mexico,Mobile,Unknown,Unknown,Unknown,1.0,390.6,15.0,375.6,False
Order_68,User_2923,2025-01-22,Mexico,Mobile,Unknown,Unknown,Unknown,2.0,289.49,0.0,578.99,False
Order_69,User_3616,2025-04-13,Mexico,Desktop,Unknown,Unknown,Unknown,1.0,350.87,0.0,350.87,False
Order_70,User_3431,2025-02-12,Mexico,Mobile,Unknown,Unknown,Unknown,2.0,26.86,0.0,53.73,False
Order_71,User_4193,2025-04-11,Mexico,Desktop,Unknown,Unknown,Unknown,1.0,195.52,0.0,195.52,False
Order_72,User_1741,2025-06-19,Mexico,Mobile,Unknown,Unknown,Unknown,1.0,81.39,0.0,81.39,False
Order_73,User_834,2025-02-08,Colombia,Mobile,Unknown,Unknown,Unknown,2.0,234.24,5.0,463.48,False
Order_124,User_6671,2025-04-12,Unknown,Mobile,Organic,Blender-Xl-Red,Hogar,1.0,298.44,5.0,293.44,False
Order_125,User_5263,2025-05-30,Unknown,Mobile,Organic,Tablet-Standard-64Gb,Electronica,1.0,133.13,0.0,133.13,False
Order_126,User_4952,2025-04-19,Unknown,Desktop,Paid_Search,Phone-Pro-128Gb,Electronica,2.0,177.23,0.0,354.45,False
Order_127,User_2619,2025-06-26,Unknown,Desktop,Paid_Search,Tablet-Standard-64Gb,Electronica,1.0,329.53,10.0,319.53,False
Order_128,User_2444,2025-05-06,Unknown,Desktop,Social,Vacuum-Pro-Black,Hogar,2.0,218.43,0.0,436.86,False
Order_129,User_7157,2025-04-17,Unknown,Desktop,Paid_Search,Sneakers-Urban-42,Moda,1.0,367.88,10.0,357.88,False
Order_130,User_3279,2025-02-06,Unknown,Desktop,Paid_Search,Vacuum-Pro-Black,Hogar,1.0,114.83,0.0,114.83,False
Order_131,User_2914,2025-05-05,Unknown,Mobile,Organic,Blender-Xl-Red,Hogar,1.0,117.84,10.0,107.84,False
Order_132,User_2173,2025-02-03,Unknown,Desktop,Organic,Tablet-Standard-64Gb,Electronica,1.0,383.84,0.0,383.84,False
Order_133,User_4038,2025-05-12,Unknown,Mobile,Social,Vacuum-Pro-Black,Hogar,2.0,345.85,0.0,691.69,False
Order_134,User_3987,2025-01-31,Unknown,Mobile,Paid_Search,Blender-Xl-Red,Hogar,1.0,313.25,10.0,303.25,False
Order_135,User_7789,2025-04-27,Unknown,Desktop,Social,Vacuum-Pro-Black,Hogar,1.0,465.32,0.0,465.32,False
Order_136,User_6937,2025-02-10,Unknown,Desktop,Organic,Blender-Xl-Red,Hogar,2.0,211.05,15.0,407.09,False
Order_137,User_5299,2025-04-05,Unknown,Mobile,Social,Vacuum-Pro-Black,Hogar,1.0,379.06,0.0,379.06,False
Order_138,User_525,2025-01-31,Unknown,Desktop,Social,Vacuum-Pro-Black,Hogar,1.0,162.37,15.0,147.37,False
Order_139,User_967,2025-04-15,Unknown,Mobile,Organic,Blender-Xl-Red,Hogar,1.0,449.32,0.0,449.32,False
Order_140,User_2308,2025-04-05,Unknown,Desktop,Social,Jacket-Winter-M,Moda,1.0,107.28,0.0,107.28,False
Order_141,User_5234,2025-01-11,Unknown,Mobile,Paid_Search,Blender-Xl-Red,Hogar,2.0,400.21,0.0,800.43,False
Order_142,User_4453,2025-01-31,Unknown,Desktop,Social,Jacket-Winter-M,Moda,2.0,425.61,0.0,851.21,False
Order_143,User_6655,2025-04-06,Unknown,Mobile,Organic,Sneakers-Urban-42,Moda,2.0,477.23,15.0,939.46,False
Order_144,User_5041,2025-05-05,Unknown,Mobile,Organic,Blender-Xl-Red,Hogar,2.0,177.04,10.0,344.08,False
Order_145,User_5001,2025-02-06,Unknown,Desktop,Organic,Blender-Xl-Red,Hogar,1.0,286.93,5.0,281.93,False
Order_146,User_6983,2025-05-31,Unknown,Mobile,Paid_Search,Blender-Xl-Red,Hogar,1.0,401.15,5.0,396.15,False
Order_147,User_6602,2025-03-20,Unknown,Mobile,Organic,Jacket-Winter-M,Moda,2.0,340.58,0.0,681.16,False
Order_148,User_3543,2025-02-25,Unknown,Desktop,Social,Tablet-Standard-64Gb,Electronica,1.0,414.64,0.0,414.64,False
Order_149,User_6151,2025-05-06,Unknown,Desktop,Organic,Tablet-Standard-64Gb,Electronica,1.0,58.8,0.0,58.8,False
Order_150,User_5524,2025-05-21,Unknown,Desktop,Paid_Search,Tablet-Standard-64Gb,Electronica,1.0,131.89,10.0,121.89,False
Order_151,User_2376,2025-01-12,Unknown,Desktop,Paid_Search,Laptop-Gaming-16Gb,Electronica,1.0,369.86,10.0,359.86,False
Order_152,User_6776,2025-05-27,Unknown,Mobile,Organic,Vacuum-Pro-Black,Hogar,2.0,101.69,15.0,188.37,False
Order_153,User_4363,2025-04-26,Unknown,Desktop,Social,Jacket-Winter-M,Moda,2.0,462.45,15.0,909.89,False
Order_154,User_3842,2025-04-07,Unknown,Desktop,Social,Vacuum-Pro-Black,Hogar,2.0,173.48,0.0,346.96,False
Order_155,User_2167,2025-06-05,Unknown,Mobile,Organic,Sneakers-Urban-42,Moda,1.0,450.43,5.0,445.43,False
Order_156,User_386,2025-02-05,Unknown,Desktop,Organic,Sneakers-Urban-42,Moda,2.0,149.1,5.0,293.2,False
Order_157,User_4730,2025-04-28,Unknown,Mobile,Social,Vacuum-Pro-Black,Hogar,2.0,73.87,15.0,132.75,False
Order_158,User_3271,2025-06-20,Unknown,Desktop,Organic,Blender-Xl-Red,Hogar,1.0,391.24,0.0,391.24,False
Order_159,User_6535,2025-03-25,Unknown,Desktop,Social,Tablet-Standard-64Gb,Electronica,2.0,481.61,0.0,963.22,False
Order_160,User_6067,2025-06-09,Unknown,Desktop,Social,Sneakers-Urban-42,Moda,2.0,89.24,10.0,168.48,False
Order_161,User_6287,2025-04-15,Unknown,Mobile,Paid_Search,Phone-Pro-128Gb,Electronica,1.0,319.38,0.0,319.38,False
