id_pedido,id_usuario,fecha_hora_pedido,pais,dispositivo,fuente_referencia,nombre_producto,categoria_producto,cantidad,precio_unitario,monto_descuento,monto_total,es_devolucion,costo_unitario,cogs,gross_profit,gross_margin_pct
Order_0,User_6993,2025-05-22,Argentina,Desktop,Organic,Jacket-Winter-M,Moda,2.0,332.69,0.0,665.37,False,189.31,378.62,286.75,43.1
Order_1,User_1329,2025-06-15,Mexico,Desktop,Paid_Search,Tablet-Standard-64Gb,Electronica,1.0,176.86,5.0,171.86,False,25.21,25.21,146.65,85.33
Order_2,User_3194,2025-05-02,Argentina,Desktop,Social,Blender-Xl-Red,Hogar,2.0,102.99,10.0,195.99,False,176.64,353.28,-157.28999999999996,-80.25
Order_3,User_4510,2025-06-09,Colombia,Mobile,Social,Tablet-Standard-64Gb,Electronica,1.0,257.87,15.0,242.87,False,25.21,25.21,217.66,89.62
Order_4,User_5044,2025-03-30,Argentina,Desktop,Paid_Search,Blender-Xl-Red,Hogar,1.0,336.28,0.0,336.28,False,176.64,176.64,159.64,47.47
Order_5,User_2792,2025-04-22,Mexico,Desktop,Organic,Tablet-Standard-64Gb,Electronica,1.0,179.34,0.0,179.34,False,25.21,25.21,154.13,85.94
Order_6,User_2802,2025-03-15,Colombia,Mobile,Organic,Blender-Xl-Red,Hogar,2.0,163.59,0.0,327.19,False,176.64,353.28,-26.089999999999975,-7.97
Order_7,User_1083,2025-05-01,Mexico,Desktop,Organic,Tablet-Standard-64Gb,Electronica,2.0,373.68,0.0,747.35,False,25.21,50.42,696.9300000000001,93.25
Order_8,User_2352,2025-03-01,Argentina,Desktop,Paid_Search,Laptop-Gaming-16Gb,Electronica,2.0,477.27,5.0,949.54,False,280.68,561.36,388.17999999999995,40.88
Order_9,User_7001,2025-05-31,Mexico,Mobile,Organic,Sneakers-Urban-42,Moda,1.0,339.3,5.0,334.3,False,17.21,17.21,317.09000000000003,94.85
Order_10,User_3960,2025-03-28,Mexico,Mobile,Organic,Phone-Pro-128Gb,Electronica,1.0,292.14,0.0,292.14,False,10.12,10.12,282.02,96.54
Order_11,User_3547,2025-06-18,Colombia,Desktop,Social,Phone-Pro-128Gb,Electronica,1.0,231.74,0.0,231.74,False,10.12,10.12,221.62,95.63
Order_12,User_6810,2025-03-17,Colombia,Mobile,Social,Jacket-Winter-M,Moda,1.0,499.48,5.0,494.48,False,189.31,189.31,305.17,61.72
Order_13,User_3170,2025-04-10,Colombia,Desktop,Organic,Jacket-Winter-M,Moda,1.0,496.94,0.0,496.94,False,189.31,189.31,307.63,61.9
Order_14,User_6516,2025-06-22,Colombia,Desktop,Social,Vacuum-Pro-Black,Hogar,1.0,400.92,5.0,395.92,False,16.6,16.6,379.32,95.81
Order_15,User_1500,2025-04-03,Colombia,Mobile,Organic,Jacket-Winter-M,Moda,2.0,373.47,0.0,746.94,False,189.31,378.62,368.32000000000005,49.31
Order_16,User_3710,2025-02-11,Colombia,Mobile,Social,Laptop-Gaming-16Gb,Electronica,2.0,355.07,10.0,700.14,False,280.68,561.36,138.77999999999997,19.82
Order_17,User_3458,2025-03-14,Mexico,Mobile,Paid_Search,Sneakers-Urban-42,Moda,2.0,308.41,0.0,616.82,False,17.21,34.42,582.4000000000001,94.42
Order_18,User_7316,2025-01-23,Mexico,Mobile,Social,Phone-Pro-128Gb,Electronica,2.0,180.64,5.0,356.27,False,10.12,20.24,336.03,94.32
Order_19,User_7190,2025-02-03,Argentina,Mobile,Social,Jacket-Winter-M,Moda,2.0,45.86,0.0,91.72,False,189.31,378.62,-286.9,-312.8
Order_20,User_396,2025-02-10,Argentina,Mobile,Organic,Tablet-Standard-64Gb,Electronica,2.0,489.11,10.0,968.23,False,25.21,50.42,917.8100000000001,94.79
Order_21,User_6296,2025-01-26,Mexico,Desktop,Paid_Search,Blender-Xl-Red,Hogar,2.0,203.26,0.0,406.51,False,176.64,353.28,53.23000000000002,13.09
Order_22,User_423,2025-05-07,Mexico,Desktop,Paid_Search,Vacuum-Pro-Black,Hogar,2.0,418.56,0.0,837.12,False,16.6,33.2,803.92,96.03
Order_23,User_3623,2025-02-23,Colombia,Desktop,Organic,Jacket-Winter-M,Moda,2.0,487.85,5.0,970.71,False,189.31,378.62,592.09,61.0
Order_24,User_458,2025-01-05,Colombia,Unknown,Organic,Sneakers-Urban-42,Moda,2.0,117.99,0.0,235.99,False,17.21,34.42,201.57,85.41
Order_25,User_540,2025-03-08,Argentina,Unknown,Social,Vacuum-Pro-Black,Hogar,1.0,183.5,5.0,178.5,False,16.6,16.6,161.9,90.7
Order_26,User_1951,2025-02-10,Colombia,Unknown,Organic,Blender-Xl-Red,Hogar,1.0,331.52,15.0,316.52,False,176.64,176.64,139.88,44.19
Order_27,User_5410,2025-05-09,Colombia,Unknown,Paid_Search,Phone-Pro-128Gb,Electronica,2.0,449.48,5.0,893.96,False,10.12,20.24,873.72,97.74
Order_28,User_1489,2025-01-17,Mexico,Unknown,Social,Phone-Pro-128Gb,Electronica,1.0,60.7,10.0,50.7,False,10.12,10.12,40.580000000000005,80.04
Order_29,User_5197,2025-01-30,Colombia,Unknown,Social,Phone-Pro-128Gb,Electronica,1.0,381.57,0.0,381.57,False,10.12,10.12,371.45,97.35
Order_30,User_5386,2025-01-31,Mexico,Unknown,Social,Vacuum-Pro-Black,Hogar,1.0,183.74,10.0,173.74,False,16.6,16.6,157.14000000000001,90.45
Order_31,User_5766,2025-05-05,Colombia,Unknown,Paid_Search,Vacuum-Pro-Black,Hogar,1.0,480.74,0.0,480.74,False,16.6,16.6,464.14,96.55
Order_32,User_4400,2025-03-29,Mexico,Unknown,Social,Tablet-Standard-64Gb,Electronica,1.0,117.69,0.0,117.69,False,25.21,25.21,92.47999999999999,78.58
Order_33,User_5070,2025-01-12,Argentina,Unknown,Paid_Search,Tablet-Standard-64Gb,Electronica,1.0,96.82,10.0,86.82,False,25.21,25.21,61.60999999999999,70.96
Order_34,User_579,2025-05-23,Mexico,Unknown,Social,Sneakers-Urban-42,Moda,1.0,174.85,0.0,174.85,False,17.21,17.21,157.64,90.16
Order_35,User_3817,2025-02-08,Mexico,Unknown,Organic,Blender-Xl-Red,Hogar,2.0,467.34,5.0,929.69,False,176.64,353.28,576.4100000000001,62.0
Order_36,User_28,2025-05-12,Colombia,Unknown,Paid_Search,Sneakers-Urban-42,Moda,2.0,136.4,15.0,257.79,False,17.21,34.42,223.37,86.65
Order_37,User_6345,2025-01-27,Colombia,Unknown,Paid_Search,Sneakers-Urban-42,Moda,1.0,429.26,5.0,424.26,False,17.21,17.21,407.05,95.94
Order_38,User_4024,2025-04-23,Argentina,Unknown,Organic,Phone-Pro-128Gb,Electronica,2.0,115.96,5.0,226.92,False,10.12,20.24,206.67999999999998,91.08
Order_39,User_7855,2025-01-29,Colombia,Unknown,Paid_Search,Blender-Xl-Red,Hogar,1.0,58.16,0.0,58.16,False,176.64,176.64,-118.47999999999999,-203.71
Order_40,User_6891,2025-06-06,Mexico,Unknown,Social,Vacuum-Pro-Black,Hogar,2.0,319.28,0.0,638.56,False,16.6,33.2,605.3599999999999,94.8
Order_41,User_2963,2025-01-27,Mexico,Unknown,Social,Jacket-Winter-M,Moda,2.0,37.77,10.0,65.53,False,189.31,378.62,-313.09000000000003,-477.78
Order_42,User_3944,2025-01-11,Mexico,Unknown,Social,Sneakers-Urban-42,Moda,1.0,253.63,5.0,248.63,False,17.21,17.21,231.42,93.08
Order_43,User_6949,2025-02-12,Colombia,Unknown,Social,Laptop-Gaming-16Gb,Electronica,1.0,415.13,0.0,415.13,False,280.68,280.68,134.45,32.39
Order_44,User_2899,2025-02-22,Colombia,Desktop,Unknown,Unknown,Unknown,1.0,318.38,5.0,313.38,False,,,,
Order_45,User_6196,2025-02-10,Mexico,Mobile,Unknown,Unknown,Unknown,2.0,354.06,10.0,698.12,False,,,,
Order_46,User_5815,2025-04-24,Mexico,Mobile,Unknown,Unknown,Unknown,1.0,359.31,10.0,349.31,False,,,,
Order_47,User_406,2025-05-08,Colombia,Mobile,Unknown,Unknown,Unknown,2.0,476.78,0.0,953.56,False,,,,
Order_48,User_6187,2025-01-26,Colombia,Desktop,Unknown,Unknown,Unknown,2.0,137.96,0.0,275.93,False,,,,
Order_49,User_7225,2025-04-04,Argentina,Desktop,Unknown,Unknown,Unknown,2.0,433.76,0.0,867.53,False,,,,
Order_50,User_1840,2025-02-05,Mexico,Desktop,Unknown,Unknown,Unknown,1.0,495.38,5.0,490.38,False,,,,
Order_51,User_5998,2025-02-21,Mexico,Desktop,Unknown,Unknown,Unknown,2.0,382.94,0.0,765.89,False,,,,
Order_52,User_5679,2025-04-17,Argentina,Mobile,Unknown,Unknown,Unknown,2.0,415.01,0.0,830.01,False,,,,
Order_53,User_5936,2025-01-02,Argentina,Desktop,Unknown,Unknown,Unknown,2.0,236.49,0.0,472.98,False,,,,
Order_54,User_3507,2025-05-02,Colombia,Mobile,Unknown,Unknown,Unknown,1.0,56.5,0.0,56.5,False,,,,
Order_55,User_2685,2025-05-10,Argentina,Desktop,Unknown,Unknown,Unknown,1.0,326.15,5.0,321.15,False,,,,
Order_56,User_6018,2025-03-10,Colombia,Mobile,Unknown,Unknown,Unknown,1.0,120.43,0.0,120.43,False,,,,
Order_57,User_4030,2025-04-17,Argentina,Desktop,Unknown,Unknown,Unknown,1.0,85.87,15.0,70.87,False,,,,
Order_58,User_6075,2025-06-20,Mexico,Mobile,Unknown,Unknown,Unknown,1.0,331.45,10.0,321.45,False,,,,
Order_59,User_6592,2025-05-16,Mexico,Mobile,Unknown,Unknown,Unknown,2.0,113.04,15.0,211.08,False,,,,
Order_60,User_5634,2025-02-28,Argentina,Desktop,Unknown,Unknown,Unknown,2.0,319.85,0.0,639.69,False,,,,
Order_61,User_3855,2025-04-20,Colombia,Desktop,Unknown,Unknown,Unknown,2.0,471.91,0.0,943.83,False,,,,
Order_62,User_5199,2025-04-15,Argentina,Desktop,Unknown,Unknown,Unknown,1.0,69.82,0.0,69.82,False,,,,
Order_63,User_679,2025-05-13,Argentina,Mobile,Unknown,Unknown,Unknown,2.0,437.98,10.0,865.95,False,,,,
Order_64,User_6697,2025-04-03,Mexico,Mobile,Unknown,Unknown,Unknown,1.0,35.5,10.0,25.5,False,,,,
Order_65,User_2495,2025-04-24,Argentina,Desktop,Unknown,Unknown,Unknown,2.0,120.0,10.0,230.0,False,,,,
Order_66,User_5186,2025-01-03,Mexico,Desktop,Unknown,Unknown,Unknown,1.0,269.68,0.0,269.68,False,,,,
Order_67,User_2319,2025-05-13,Mexico,Mobile,Unknown,Unknown,Unknown,1.0,390.6,15.0,375.6,False,,,,
Order_68,User_2923,2025-01-22,Mexico,Mobile,Unknown,Unknown,Unknown,2.0,289.49,0.0,578.99,False,,,,
Order_69,User_3616,2025-04-13,Mexico,Desktop,Unknown,Unknown,Unknown,1.0,350.87,0.0,350.87,False,,,,
Order_70,User_3431,2025-02-12,Mexico,Mobile,Unknown,Unknown,Unknown,2.0,26.86,0.0,53.73,False,,,,
Order_71,User_4193,2025-04-11,Mexico,Desktop,Unknown,Unknown,Unknown,1.0,195.52,0.0,195.52,False,,,,
Order_72,User_1741,2025-06-19,Mexico,Mobile,Unknown,Unknown,Unknown,1.0,81.39,0.0,81.39,False,,,,
Order_73,User_834,2025-02-08,Colombia,Mobile,Unknown,Unknown,Unknown,2.0,234.24,5.0,463.48,False,,,,
Order_124,User_6671,2025-04-12,Unknown,Mobile,Organic,Blender-Xl-Red,Hogar,1.0,298.44,5.0,293.44,False,176.64,176.64,116.80000000000001,39.8
