id_usuario,fecha_registro,país,dispositivo,tipo_plan
user_0,2025-01-29,Mexico,mobile,free
user_1,2025-01-07,Mexico,mobile,free
user_2,2025-03-12,Argentina,mobile,free
user_3,2025-03-04,Mexico,desktop,free
user_4,2025-02-27,Argentina,desktop,free
user_5,2025-02-05,Colombia,desktop,free
user_6,2025-01-27,Mexico,mobile,free
user_7,2025-05-20,Colombia,mobile,free
user_8,2025-01-23,Mexico,mobile,free
user_9,2025-04-19,Colombia,desktop,free
user_10,2025-01-09,Argentina,desktop,free
user_11,2025-01-08,Colombia,mobile,free
user_12,2025-01-24,Mexico,mobile,free
user_13,2025-02-25,Argentina,mobile,paid
user_14,2025-03-01,Colombia,desktop,free
user_15,2025-05-10,Colombia,desktop,paid
user_16,2025-01-07,Colombia,mobile,free
user_17,2025-05-24,Argentina,desktop,free
user_18,2025-02-20,Mexico,desktop,free
user_19,2025-05-20,Colombia,mobile,free
user_20,2025-04-18,Colombia,desktop,free
user_21,2025-02-26,Colombia,desktop,free
user_22,2025-04-25,Argentina,desktop,free
user_23,2025-05-31,Colombia,desktop,paid
user_24,2025-03-13,Colombia,mobile,paid
user_25,2025-01-02,Colombia,mobile,paid
user_26,2025-02-10,Colombia,desktop,free
user_27,2025-04-19,Mexico,desktop,paid
user_28,2025-03-29,Colombia,mobile,free
user_29,2025-03-13,Mexico,mobile,free
user_30,2025-02-09,Mexico,mobile,free
user_31,2025-02-25,Mexico,desktop,free
user_32,2025-03-28,Argentina,mobile,free
user_33,2025-01-27,Argentina,mobile,free
user_34,2025-01-24,Mexico,desktop,paid
user_35,2025-04-08,Mexico,desktop,free
user_36,2025-01-25,Colombia,mobile,paid
user_37,2025-04-02,Argentina,desktop,free
user_38,2025-03-30,Argentina,desktop,free
user_39,2025-03-09,Argentina,mobile,free
user_40,2025-01-12,Mexico,mobile,free
user_41,2025-04-28,Mexico,mobile,free
user_42,2025-05-18,Argentina,desktop,free
user_43,2025-02-01,Mexico,mobile,free
user_44,2025-04-07,Colombia,desktop,free
user_45,2025-01-21,Argentina,desktop,free
user_46,2025-05-22,Mexico,desktop,free
user_47,2025-03-17,Mexico,mobile,free
user_48,2025-04-03,Argentina,mobile,free
user_49,2025-05-28,Mexico,desktop,free
user_50,2025-02-19,Argentina,desktop,free
user_51,2025-01-18,Colombia,mobile,paid
user_52,2025-01-12,Mexico,desktop,free
user_53,2025-02-28,Colombia,desktop,free
user_54,2025-03-16,Colombia,mobile,free
user_55,2025-01-21,Argentina,desktop,paid
user_56,2025-03-01,Mexico,mobile,free
user_57,2025-01-26,Mexico,mobile,free
user_58,2025-04-08,Colombia,desktop,free
user_59,2025-03-13,Colombia,mobile,free
user_60,2025-04-27,Colombia,desktop,free
user_61,2025-04-04,Argentina,desktop,free
user_62,2025-02-11,Mexico,desktop,free
user_63,2025-04-05,Mexico,desktop,free
user_64,2025-04-01,Colombia,mobile,paid
user_65,2025-02-23,Mexico,mobile,free
user_66,2025-03-10,Mexico,mobile,free
user_67,2025-01-19,Colombia,desktop,free
user_68,2025-02-13,Mexico,desktop,free
user_69,2025-05-17,Argentina,desktop,paid
user_70,2025-03-04,Colombia,desktop,free
user_71,2025-02-11,Argentina,desktop,free
user_72,2025-04-29,Argentina,mobile,free
user_73,2025-04-08,Mexico,desktop,free
user_74,2025-03-11,Colombia,mobile,paid
user_75,2025-05-23,Mexico,mobile,paid
user_76,2025-02-26,Colombia,desktop,free
user_77,2025-03-25,Argentina,desktop,free
user_78,2025-01-15,Argentina,mobile,free
user_79,2025-02-28,Argentina,desktop,free
user_80,2025-01-09,Argentina,desktop,paid
user_81,2025-03-22,Argentina,desktop,paid
user_82,2025-04-13,Colombia,mobile,free
user_83,2025-03-10,Colombia,mobile,free
user_84,2025-01-17,Colombia,desktop,free
user_85,2025-02-24,Mexico,desktop,free
user_86,2025-05-26,Colombia,desktop,paid
user_87,2025-03-22,Argentina,mobile,free
user_88,2025-02-24,Argentina,mobile,free
user_89,2025-05-08,Argentina,desktop,free
user_90,2025-04-12,Mexico,desktop,paid
user_91,2025-04-28,Mexico,desktop,paid
user_92,2025-02-06,Colombia,mobile,paid
user_93,2025-03-09,Mexico,mobile,free
user_94,2025-02-05,Colombia,desktop,paid
user_95,2025-03-05,Colombia,desktop,free
user_96,2025-05-24,Mexico,mobile,free
user_97,2025-05-18,Mexico,desktop,free
user_98,2025-03-09,Argentina,mobile,free
user_99,2025-05-30,Mexico,desktop,free
user_100,2025-04-20,Argentina,desktop,free
user_101,2025-05-30,Colombia,desktop,free
user_102,2025-04-13,Mexico,mobile,paid
user_103,2025-04-03,Argentina,mobile,paid
user_104,2025-02-26,Colombia,mobile,paid
user_105,2025-02-05,Mexico,mobile,free
user_106,2025-05-11,Argentina,desktop,free
